id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,9/30/13 6:42,10/11/13 9:11,Closed,Street Lights,Street Light Outages,INTERSECTION of Massachusetts Ave & Southampton St  Roxbury  MA  ,Roxbury,,42.353067,-71.062842
1.01E+11,9/30/13 5:21,9/30/13 11:10,Closed,Highway Maintenance,Request for Pothole Repair,INTERSECTION of Guild St & Washington St  Roxbury  MA  ,Roxbury,,42.28514,-71.07038
1.01E+11,9/29/13 17:12,9/30/13 11:12,Closed,Highway Maintenance,Sidewalk Repair (Make Safe),128 Dewitt Dr  Mission Hill  MA  02120,Roxbury,2120,42.332338,-71.085053
1.01E+11,9/29/13 17:11,9/30/13 11:13,Closed,Highway Maintenance,Sidewalk Repair (Make Safe),128 Dewitt Dr  Mission Hill  MA  02120,Roxbury,2120,42.332338,-71.085053
1.01E+11,9/29/13 13:27,10/1/13 10:59,Closed,General Request,General Request,227 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.338513,-71.08037
1.01E+11,9/28/13 18:03,9/30/13 12:05,Closed,General Request,General Request,142 Centre St  Roxbury  MA  02119,Roxbury,2119,42.32534,-71.09684
1.01E+11,9/28/13 11:07,,Open,General Request,General Request,230 Shawmut Ave  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,9/28/13 10:22,9/30/13 13:11,Closed,General Request,General Request,INTERSECTION of Alvah Kittredge Park & Millmont St  Roxbury  MA  ,Roxbury,,42.297898,-71.056017
1.01E+11,9/27/13 15:47,10/1/13 12:33,Closed,Signs & Signals,Sign Repair,24-26 Holborn St  Dorchester  MA  02121,Roxbury,2121,42.315,-71.08133
1.01E+11,9/27/13 14:13,,Open,General Request,General Request,71 Cedar St  Roxbury  MA  02119,Roxbury,2119,42.3594,-71.0587
1.01E+11,9/27/13 13:49,10/2/13 16:44,Closed,General Request,General Request,INTERSECTION of Hammond St & Tremont St  Mission Hill  MA  ,Roxbury,,42.29158,-71.07272
1.01E+11,9/27/13 13:46,9/29/13 22:40,Closed,General Request,General Request,151 Centre St  Roxbury  MA  02119,Roxbury,2119,42.326088,-71.096786
1.01E+11,9/27/13 13:40,,Open,General Request,General Request,73 Windsor St  Mission Hill  MA  02120,Roxbury,2120,42.33535,-71.0844
1.01E+11,9/27/13 12:57,9/29/13 23:28,Closed,General Request,General Request,8-14 Newcomb St  Roxbury  MA  02118,Roxbury,2118,42.33421,-71.07896
1.01E+11,9/27/13 6:55,9/27/13 10:00,Closed,General Request,General Request,528-536 Warren St  Dorchester  MA  02121,Roxbury,2121,42.31345,-71.08343
1.01E+11,9/27/13 6:39,9/30/13 10:53,Closed,General Request,General Request,459 Massachusetts Ave  Roxbury  MA  02118,Roxbury,2118,42.34004,-71.08147
1.01E+11,9/27/13 6:26,9/30/13 10:56,Closed,General Request,General Request,INTERSECTION of Malcolm X Blvd & Gay St  Roxbury  MA  ,Roxbury,,42.353458,-71.062852
1.01E+11,9/27/13 2:57,9/30/13 10:56,Closed,General Request,General Request,INTERSECTION of Blue Hill Ave & Georgia St  Dorchester  MA  ,Roxbury,,42.333947,-71.07235
1.01E+11,9/27/13 2:56,9/30/13 10:55,Closed,General Request,General Request,INTERSECTION of Blue Hill Ave & Washington St  Dorchester  MA  ,Roxbury,,42.3594,-71.0587
